Issue key,Issue id,Parent id,Epic Name,Epic Link,Labels,Labels,Issue Type,Priority,Summary,Acceptance Criteria,Story Points,Assignee,Status,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Due Date,Created,Updated,Resolved
EFDDH-758,7734291,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low,ARF223: Build : Configure DAG's to load the ref data - Madhav,,3,jillelam,Closed,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 12,,,,,,,,,,,,,,18/07/2024,29/07/2024,31/07/2024,31/07/2024
EFDDH-757,7733392,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low,ARF223:Build: 223 - DAGs to load refer to APP ENV DATES to update ENV DATES ,,5,geesalan,Closed,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,18/07/2024,29/07/2024,16/09/2024,16/09/2024
EFDDH-756,7733334,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low,ARF223:Build: 223 -APP ENV DATES load from onprem,,5,geesalan,Closed,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,,,,,,,,,,,18/07/2024,29/07/2024,21/08/2024,21/08/2024
EFDDH-755,7733303,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low,ARF223:Build: 223 -ENV_DATES and APP_ENV_DATES creation via TF,,5,geesalan,Backlog,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,,,,,,,,,,,,18/07/2024,29/07/2024,29/08/2024,
EFDDH-754,7732298,7701881,,,,,Sub Task,Low,Review task,,,mahajaa4,Closed,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,,,,,,,,,,,,,,,,,29/07/2024,12/08/2024,12/08/2024
EFDDH-753,7731800,,,EFDDH-9,EFDDH-BP-MVPREL1,PlatformFDH,Story,Low,Platform: CD dynamic docker build for all images in Base Container Repo,"As an Engineer, I want IAM 2.1 RBAC solution must be Redesigned Implemented  and Documented using Codefresh as core.",3,manyerel,Story Done,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,,,,,,,,,,,,,,,,,18/07/2024,29/07/2024,21/08/2024,21/08/2024
EFDDH-752,7727196,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low,ARF223: Build : REF tables DDL creation via TF,,3,xavierl,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,,,,,,,,,,,,,,18/07/2024,26/07/2024,29/07/2024,29/07/2024
EFDDH-751,7727163,,,,EFDDH-BP-MVPREL1,,Story,Low, Misc:Deployment - NEDS exemption documentation and approval ,"As a RL, CRMA need to be completed after consultation  with PO, Tech SME and business and Submitted for knowing activity path to activate the platform",3,bvineeth,Closed,BP: EFDDH Sprint 6,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,,,,,,,,,,18/07/2024,26/07/2024,28/08/2024,28/08/2024
EFDDH-750,7726828,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low, ARF223:BRS: 223 - FLAT - POC for multiple repos/projects ,,5,dabkea,Closed,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,,,,,,,,,,,,18/07/2024,26/07/2024,26/07/2024,26/07/2024
EFDDH-749,7725848,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low,ARF223: Build : DAG Configuration to load the REF tables,,3,geesalan,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,,,,,,,,,,,,,,18/07/2024,26/07/2024,05/08/2024,05/08/2024
EFDDH-748,7725658,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low,ARF223:Framework: 223 - POC to connect FLAT to CAD using different git repo (dbt_loom),,5,dabkea,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,,,,,,,,,,,18/07/2024,26/07/2024,12/08/2024,12/08/2024
EFDDH-747,7724183,,,EFDDH-37,EFDDH-BP-MVPREL1,,Story,Low,ARF223: BRS: 223 - Reference files documented to be extracted from PROD into csvs and share with platform team,,5,nagavels,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 12,,,,,,,,,,,,,29/07/2024,25/07/2024,05/08/2024,05/08/2024
EFDDH-746,7723780,,,EFDDH-37,,,Story,High,ARF223:Build: Documentation for DGCP Access in FinTechDoc,,2,chenc33,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 5,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,,,,,,,,,,,,,,,25/07/2024,05/08/2024,05/08/2024
EFDDH-745,7719896,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low,ARF223:Framework: 223 - FLAT - XFM_T linting and formatting,,5,dabkea,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,,,,,,,,18/07/2024,24/07/2024,03/10/2024,03/10/2024
EFDDH-744,7719658,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low,"ARF223:Framework: 223 -FLAT XFM_OUT Layer download dbt models, linting and formatting in local ",,5,kummarip,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,,,,,,,,18/07/2024,24/07/2024,03/10/2024,03/10/2024
EFDDH-743,7719657,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low,"ARF223:Framework: 223 -FLAT XFM_IN Layer download dbt models, linting and formatting in local ",,5,jillelam,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,18/07/2024,24/07/2024,13/09/2024,12/09/2024
EFDDH-742,7719656,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low,"ARF223:Framework: 223 -FLAT SRC_OUT Layer download dbt models, linting and formatting in local ",,5,muralib2,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,18/07/2024,24/07/2024,11/09/2024,11/09/2024
EFDDH-741,7719653,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low,"ARF223:Framework: 223 -FLAT SRC_IN Layer download dbt models, linting and formatting in local ",,5,xavierl,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,,,,,,,,,,,18/07/2024,24/07/2024,21/08/2024,21/08/2024
EFDDH-740,7719652,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low,"ARF223:Framework: 223 -FLAT CNF_T Layer download dbt models, linting and formatting in local ",,1,muralib2,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,,,,,,10/10/2024,24/07/2024,22/10/2024,22/10/2024
EFDDH-739,7719649,,,EFDDH-3,RegDHGCPRel4,,Story,Highest,"ARF223:Framework: 223 -FLAT CNF_T_INS Layer download dbt models, linting and formatting in local ",,3,xavierl,Closed,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,,,,,,21/10/2024,24/07/2024,23/10/2024,22/10/2024
EFDDH-738,7719648,,,EFDDH-3,RegDHGCPRel4,,Story,Highest,"ARF223:Framework: 223 -FLAT CNF_Out Layer download dbt models, linting and formatting in local ",,2,jillelam,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,,,,,,16/10/2024,24/07/2024,23/10/2024,23/10/2024
EFDDH-737,7719642,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low,"ARF223:Framework: 223 -FLAT CNF_IN Layer download dbt models, linting and formatting in local ",,1,muralib2,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,08/10/2024,24/07/2024,10/10/2024,09/10/2024
EFDDH-736,7719640,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low,ARF223:Framework: 223 -FLAT IFC views creation for FLAT consumption,,5,xavierl,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,,,,,,,,,,,18/07/2024,24/07/2024,21/08/2024,21/08/2024
EFDDH-735,7719636,,,EFDDH-3,RegDHGCPRel29Aug,,Story,Low,ARF223:Framework: 223 -CAD- PRES views creation for consumption for FLAT and others ,,5,muralib2,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,18/07/2024,24/07/2024,10/09/2024,10/09/2024
EFDDH-734,7717831,,,EFDDH-37,EFDDH-BP-MVPREL1,,Story,Low,ARF223:BRS: 223 - PTY_VAL_GD_CLZZ_CUST_AU_PIVOT,,5,kummarip,Closed,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,,,,,,,,,,,18/07/2024,24/07/2024,11/10/2024,21/08/2024
EFDDH-733,7717433,,,EFDDH-36,EFDDH-BP-MVPREL1,,Story,Low,ARF223:Arch& Design: 223 - Query grid poc ,Refer to KDD-004 - https://confluence.service.anz/display/CSARC/Nga+Tapuwae+-+Solution+Overview+-+MBP+to+GCP,5,sharmv43,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,,,,,,,,,08/08/2024,24/07/2024,01/10/2024,01/10/2024
EFDDH-732,7717413,,,EFDDH-37,EFDDH-BP-MVPREL1,,Story,Low,ARF223:BRS: 223 - Architecture for 41 Data products sol design and auto publishing ,,5,sharmv43,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,,,,,,,,,08/08/2024,24/07/2024,01/10/2024,01/10/2024
EFDDH-731,7717411,,,EFDDH-37,EFDDH-BP-MVPREL1,,Story,Low,ARF223:BRS: 223 - 41 Data products auto publishing of DP to DPC and mesh,,5,kakkarn,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,,18/07/2024,24/07/2024,07/10/2024,07/10/2024
EFDDH-730,7717409,,,EFDDH-37,EFDDH-BP-MVPREL1,,Story,Low,ARF223:BRS: 223 - 41 Data products solution design and documentation,,5,kakkarn,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,,18/07/2024,24/07/2024,07/10/2024,07/10/2024
EFDDH-729,7716939,,,EFDDH-37,,,Story,High,ARF223:Build: review out of scope items for CAD from conf to validate,,1,kummarip,To Do,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 5,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,,,,,,,,,16/10/2024,24/07/2024,30/10/2024,
EFDDH-728,7716454,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low,ARF223:Framework: 223 specific - Setting up working directory CLVR python,,2,raja19,Story Done,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,18/07/2024,24/07/2024,24/07/2024,24/07/2024
EFDDH-727,7715240,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low,ARF223: Build : Create DBT Models for CLVR 113 Missed Sqls,,3,jillelam,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,18/07/2024,23/07/2024,24/07/2024,24/07/2024
EFDDH-726,7712836,,,EFDDH-37,EFDDH-BP-MVPREL1,,Story,Low,ARF223:BRS: 223 - PTY_VAL_GD_CLZZ_CUST_AU_PHY,,5,kummarip,Closed,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,,,,,,,,,,,18/07/2024,23/07/2024,11/10/2024,21/08/2024
EFDDH-725,7710038,,,,,,Risk,Low,Delivery risk ,,,bvineeth,Done,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,,,22/07/2024,18/11/2024,22/07/2024
EFDDH-724,7709695,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low,ARF223:Framework: 223 specific - Object_Fxn Variable for CLVR python,,2,raja19,Story Done,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,18/07/2024,22/07/2024,24/07/2024,24/07/2024
EFDDH-723,7708205,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low,ARF223: Build : DAG for CLVR,,3,geesalan,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,,,,,,,,,,,,,,18/07/2024,22/07/2024,25/07/2024,25/07/2024
EFDDH-722,7708198,7543492,,,,,Sub Task,Low,CLVR details to be shared for PROD plan,,,kummarip,Done,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,22/07/2024,23/07/2024,23/07/2024
EFDDH-721,7707309,,,EFDDH-37,,,Bug,Low,ARF223:System Testing : CNF layer no data loaded,,,kummarip,Story Done,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,,22/07/2024,22/07/2024,11/10/2024,22/07/2024
EFDDH-720,7707304,,,EFDDH-37,,,Bug,Low,ARF223:XFM_T ST no data loaded ,,,kummarip,Story Done,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,,22/07/2024,22/07/2024,11/10/2024,22/07/2024
EFDDH-719,7707295,,,EFDDH-37,,,Bug,Low,ARF223: Build: CLVR - data is not loaded ,,,kummarip,Story Done,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,,22/07/2024,22/07/2024,11/10/2024,22/07/2024
EFDDH-718,7703224,7702488,,,,,Sub Task,Low,Review task,,,geesalan,Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,19/07/2024,22/07/2024,22/07/2024
EFDDH-717,7703161,7655543,,,,,Sub Task,Low,review task ,,,mahajaa4,Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,,19/07/2024,23/07/2024,23/07/2024
EFDDH-716,7703160,7694785,,,,,Sub Task,Low,Review task,,,dabkea,Done,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,,,19/07/2024,22/07/2024,22/07/2024
EFDDH-715,7702706,,,EFDDH-37,,,Story,High,ARF223:Sourcing: Add new members to DGCP dev,,2,chenc33,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 5,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,19/07/2024,24/07/2024,24/07/2024
EFDDH-714,7702488,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low,ARF223: Build : DAG for REF ,,1,xavierl,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,18/07/2024,19/07/2024,22/07/2024,22/07/2024
EFDDH-713,7701881,,,EFDDH-9,EFDDH-BP-MVPREL1,PlatformFDH,Story,Low,Platform: CI - Update DPC py tool + Documentation,"As an Engineer, I want IAM 2.1 RBAC solution must be Redesigned Implemented  and Documented using Codefresh as core.",3,manyerel,Closed,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,,,,,,,,,,,,,,,,30/07/2024,19/07/2024,12/08/2024,12/08/2024
EFDDH-712,7701877,,,EFDDH-9,EFDDH-BP-MVPREL1,PlatformFDH,Story,Low,Platform: CD for dbt container from Base Container Repo,"As an Engineer, I want IAM 2.1 RBAC solution must be Redesigned Implemented  and Documented using Codefresh as core.",3,manyerel,Story Done,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,,,,,,,,,,,,,,,,,18/07/2024,19/07/2024,29/07/2024,25/07/2024
EFDDH-711,7699057,,,EFDDH-8,,,Story,Low,Firewall Rules for the VM's,,2,mahajaa4,Story Done,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,,,,,,,,,,,,,,,,,,18/07/2024,29/07/2024,29/07/2024
EFDDH-710,7699050,,,EFDDH-8,,,Story,Low,Unified DBT Profile for all environment ,,2,mahajaa4,Story Done,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,,,18/07/2024,22/07/2024,22/07/2024
EFDDH-709,7699071,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low,ARF223:Framework: 223 - Handling of duplicates from DGCP,,3,dabkea,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,18/07/2024,18/07/2024,23/07/2024,23/07/2024
EFDDH-708,7698611,,,EFDDH-654,,,Xray Test Execution,Low,"ARF223:Unit Testing : Testing Requirements for all UTs for XFM Tables, CNF Key & Pivot Tables - Naresh",,,geesalan,Done,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,,,18/07/2024,19/07/2024,19/07/2024
EFDDH-707,7698608,,,EFDDH-654,,,Xray Test Execution,Low,"ARF223:Unit Testing : Testing Requirements for all UTs for XFM Tables, CNF Key & Pivot Tables - Madhav",,,jillelam,Done,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,,,18/07/2024,19/07/2024,19/07/2024
EFDDH-706,7698602,,,EFDDH-654,,,Xray Test Execution,Low,"ARF223:Unit Testing : Testing Requirements for all UTs for XFM Tables, CNF Key & Pivot Tables - Libinus",,,xavierl,Done,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,,,18/07/2024,19/07/2024,19/07/2024
EFDDH-705,7698600,,,EFDDH-654,,,Xray Test Execution,Low,"ARF223:Unit Testing : Testing Requirements for all UTs for XFM Tables, CNF Key & Pivot Tables - Ajay",,,dabkea,Done,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,,,18/07/2024,19/07/2024,19/07/2024
EFDDH-704,7698447,,,EFDDH-37,EFDDH-BP-MVPREL1,,Story,Low,ARF223:BRS: 223 - Create models for PSGL_GBF_RATE to CCY,,5,kuberr,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,18/07/2024,18/07/2024,24/07/2024,24/07/2024
EFDDH-703,7698446,,,EFDDH-37,EFDDH-BP-MVPREL1,,Story,Low,ARF223:BRS: 223 - CCY_CCY_CAL_PIVOT analysis and get sqls to build models,,5,kummarip,Story Done,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,18/07/2024,18/07/2024,11/10/2024,19/07/2024
EFDDH-702,7698444,,,EFDDH-37,,,Story,Low,ARF223:BRS: 223 - functional testing defect triage and support ,,2,kummarip,Story in Progress,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 17,BP: EFDDH Sprint 18,BP: EFDDH Sprint 19,BP: EFDDH Sprint 20,BP: EFDDH Sprint 21,,,31/10/2024,18/07/2024,28/11/2024,
EFDDH-701,7696576,,,EFDDH-654,,,Xray Test,Low,"ARF223:System Testing : Testing Requirements for all STs for XFM Tables, CNF Key & Pivot Tables - Part 2",,,chenc33,Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,,17/07/2024,27/08/2024,19/07/2024
EFDDH-700,7694853,7694852,,,,,Sub Task,Low,CLONE - Review changes -Pull req by Libi,,,jillelam,Closed,,,,,,,,,,,,,,,,,,,16/07/2024,17/07/2024,09/09/2024,09/09/2024
EFDDH-699,7694852,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low," ARF223: Build : REG_SRC_INTERFACE - Ref data -SIT column fix, add columns, build DAG using bq operator to load ",,3,xavierl,Closed,,,,,,,,,,,,,,,,,,,18/07/2024,17/07/2024,09/09/2024,09/09/2024
EFDDH-698,7694785,,,EFDDH-8,,,Story,Low,Pre-Setup for Orchestration Scenerios ,,3,mahajaa4,Story Done,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,,,17/07/2024,22/07/2024,22/07/2024
EFDDH-697,7694782,,,EFDDH-8,,,Story,Low,VM Creation via Codefresh in Dev RegDH,,3,mahajaa4,Story Done,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,,,17/07/2024,18/07/2024,18/07/2024
EFDDH-696,7694781,,,EFDDH-8,,,Story,Low,"GCP Foundation Change for CiDR/Subnet linkage to Our REGDH DEV ,ST ,SIT",,3,mahajaa4,Story Done,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,,,17/07/2024,18/07/2024,18/07/2024
EFDDH-695,7693962,,,EFDDH-654,EFDDH-BP-MVPREL1,,Story,Low,ARF223: Unit Testing: SIT Deployment and Execution,"ST is completed
SIT deployed
Peer review is completed ",,geesalan,Story Done,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,,,18/07/2024,17/07/2024,27/08/2024,18/07/2024
EFDDH-694,7690614,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low,ARF223: Build : Fix for CUAC_ACT_ID in ifc_T_CAPCISAU_CAPCUACD10,,3,geesalan,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,18/07/2024,16/07/2024,18/07/2024,18/07/2024
EFDDH-693,7690419,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low,ARF223: Build : Deploy DAGs in SIT environment using TAG,,3,geesalan,Story Done,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 11,,,,,,,,,,,,,,,18/07/2024,16/07/2024,18/07/2024,18/07/2024
